V5 FORMULA EV — 2026 CALENDAR REDUCED-ORDER LAP SIMULATION

These are conceptual predictions, not actual CFD/vehicle-dynamics results. “Fastest lap” is the predicted low-fuel qualifying lap; race fastest is a late-race low-fuel estimate; race pace is a representative dry green-flag lap with fuel and tire allowance.

Rnd  Venue                   Qualifying  Race fastest   Race pace
  1  Melbourne                 1:15.700      1:17.593    1:20.091
  2  Shanghai                  1:30.017      1:32.267    1:36.318
  3  Suzuka                    1:27.469      1:29.656    1:32.718
  4  Miami                     1:26.592      1:28.757    1:32.220
  5  Montreal                  1:11.362      1:13.146    1:15.644
  6  Monaco                    1:09.041      1:10.767    1:14.565
  7  Barcelona                 1:11.341      1:13.125    1:15.622
  8  Spielberg                 1:03.190      1:04.770    1:06.982
  9  Silverstone               1:24.830      1:26.951    1:29.496
 10  Spa-Francorchamps         1:41.263      1:43.794    1:47.845
 11  Hungaroring               1:15.103      1:16.980    1:20.360
 12  Zandvoort                 1:09.377      1:11.112    1:14.234
 13  Monza                     1:18.697      1:20.665    1:22.632
 14  Madring                   1:31.970      1:34.269    1:38.408
 15  Baku                      1:40.050      1:42.551    1:46.553
 16  Marina Bay                1:29.367      1:31.601    1:36.516
 17  Austin                    1:31.040      1:33.316    1:36.958
 18  Mexico City               1:15.953      1:17.852    1:21.270
 19  Interlagos                1:08.037      1:09.738    1:12.799
 20  Las Vegas Strip           1:31.867      1:34.163    1:37.379
 21  Lusail                    1:20.281      1:22.289    1:25.500
 22  Yas Marina                1:21.947      1:23.995    1:26.863

MODEL LIMITATIONS
The model uses track length, circuit category and assumed average speed calibrated to modern formula-car pace. It does not solve a racing line, braking zones, tire temperatures, battery state, motor torque curve, gear ratios, elevation, weather, traffic, safety cars or strategy. Typical uncertainty is about +/-2.5% for qualifying and +/-4% for race pace; Madrid is less certain because it is new. An electric car sustaining these laps also requires an energy-storage and thermal model that is not yet defined.
